id,name,nickname,lat,lon
107,White rhinoceros,multimedia,7.584057,122.850015
108,Eastern box turtle,zero administration,49.871007,17.8758236
109,Swallow-tail gull,workforce,14.6060279,-87.940833
110,Western lowland gorilla,incremental,48.6138851,14.2281446
111,Horned lark,solution,35.909032,117.767952
112,"Lapwing, southern",core,14.7596318,121.0589081
113,Red-billed hornbill,Persistent,-10.7072554,22.22946
114,"Heron, yellow-crowned night",Distributed,54.4691259,38.7201031
115,"Wombat, common",methodology,24.117102,117.613808
116,"Dove, little brown",grid-enabled,30.975286,105.190522
117,"Opossum, american virginia",project,43.1557012,22.5856811
118,"Bunting, crested",Enterprise-wide,36.8079089,139.9200321
119,North American beaver,next generation,1.616009,99.2342196
120,Eleven-banded armadillo (unidentified),Programmable,-38.956431,-68.23127
121,"Penguin, magellanic",structure,-19.4878116,-46.5450499
122,"Mockingbird, galapagos",software,-19.8073042,-44.1815176
123,Stone sheep,Extended,-7.6387228,111.0460407
124,"Dove, ring",circuit,15.482806,120.6852664
125,"Sungazer, yellow-brown",didactic,-13.308333,-73.583333
126,"Heron, yellow-crowned night",heuristic,34.3020001,48.8145943
127,Gecko (unidentified),high-level,21.918203,110.853299
128,Dingo,attitude,52.1028471,21.0281495
129,"Marmot, yellow-bellied",bandwidth-monitored,43.653169,111.977943
130,Tiger cat,zero defect,34.749864,106.137293
131,Steenbok,exuding,-6.2741889,106.7020556
132,Tammar wallaby,Grass-roots,38.1100701,127.9898825
133,"Hedgehog, south african",Reverse-engineered,55.84069,55.40834
134,"Barbet, crested",Decentralized,20.9334638,106.8414374
135,"Rhea, gray",system-worthy,-31.476524,-64.2257559
136,White-headed vulture,open architecture,5.3523231,100.3573891
137,"Nutcracker, clark's",hardware,26.497669,104.980581
138,"Tortoise, radiated",De-engineered,-7.3475648,108.1576908
139,"Tern, white-winged",neural-net,30.131843,109.934086
140,"Insect, stick",multi-tasking,31.236833,121.532286
141,"Heron, boat-billed",methodical,7.3603376,2.6040436
142,Bontebok,intranet,49.84727,6.1062222
143,Black vulture,middleware,-12.9316863,34.2810541
144,"Dog, bush",Digitized,49.9514305,19.7973419
145,"Civet, small-toothed palm",benchmark,13.4198217,-15.2765351
146,Striped hyena,strategy,50.81667,27.03333
147,"Ibis, sacred",Pre-emptive,-3.9984597,122.5129742
148,"Gazer, sun",zero tolerance,-15.6442505,-74.0784785
149,Black bear,attitude,16.9334683,121.7587348
150,"Frogmouth, tawny",artificial intelligence,23.681774,113.056042
151,"Porcupine, indian",monitoring,22.025118,113.209606
152,"Cat, native",next generation,35.30385,113.875245
153,Gray heron,zero defect,-28.4629851,-52.9814383
154,"Vulture, black",projection,16.8211238,100.2658516
155,"Roller, lilac-breasted",secured line,42.0387882,43.8242982
156,"Lion, asian",explicit,-4.0003104,35.778497
157,Cougar,client-driven,-3.565921,114.7855271
158,"Wallaby, bennett's",Digitized,39.883992,116.4262137
159,"Boa, mexican",infrastructure,36.3193563,-115.0228736
160,"Owl, australian masked",help-desk,-6.3108571,-79.0262568
161,"Lion, steller sea",Extended,-6.97632,109.471802
162,"Pintail, white-cheeked",neutral,15.9121913,120.5841083
163,"Sungazer, yellow-brown",hybrid,47.5202786,17.5142121
164,"Kangaroo, eastern grey",frame,39.289991,112.340495
165,"Dunnart, fat-tailed",Self-enabling,60.584008,22.7376381
166,Cobra (unidentified),toolset,14.5179897,-17.0096553
167,"Crow, pied",3rd generation,39.4305733,21.6627892
168,Brown capuchin,Open-source,29.48018,120.882428
169,Richardson's ground squirrel,Cross-platform,-13.316667,-75.783333
170,White-fronted bee-eater,challenge,-7.22439,113.51508
171,Bengal vulture,circuit,52.824354,83.119824
172,Olive baboon,Intuitive,-7.7995142,111.5438491
173,Jabiru stork,circuit,52.60628,18.9012899
174,Violet-eared waxbill,bottom-line,37.87059,112.548879
175,"Macaque, pig-tailed",analyzing,41.9164917,20.2862003
176,"Eagle, crowned",Public-key,36.1125,129.35222
177,Indian peacock,Programmable,49.9592267,20.6436082
178,Common nighthawk,Self-enabling,54.3786241,17.1607682
179,Margay,internet solution,39.9799992,-105.248737
180,Blue duck,core,23.923594,115.761018
181,"Lark, horned",portal,43.4717283,-3.7866915
182,Eastern fox squirrel,didactic,-8.650979,116.3249438
183,Hawk-headed parrot,complexity,8.9392884,-13.1149327
184,Paddy heron (unidentified),actuating,59.5043187,15.0421807
185,"Wolf, common",Robust,32.5326308,20.5870955
186,Polar bear,asymmetric,-0.2488358,35.7323709
187,"White-eye, pale",Synergized,-8.5738445,116.1093533
188,Nilgai,real-time,19.0311391,-69.7294736
189,Cape wild cat,Vision-oriented,52.5595501,23.8049715
190,"Snake, green vine",Ameliorated,18.0435607,100.1031202
191,"Kangaroo, eastern grey",instruction set,39.952319,119.598195
192,Hoffman's sloth,projection,40.09864,119.949545
193,"Armadillo, seven-banded",alliance,30.128901,104.627636
194,"Dolphin, common",knowledge base,39.8184959,116.5558524
195,"Trumpeter, green-winged",Mandatory,15.5561791,-61.45814
196,"Bird, bare-faced go away",software,13.1225237,123.6615247
197,Common pheasant,directional,23.528427,116.399409
198,"Shrike, southern white-crowned",reciprocal,54.7083095,76.5513541
199,Western bearded dragon,system engine,-6.5654,106.3716
200,Racer snake,orchestration,42.34,-71.05
201,Giraffe,Public-key,37.7621762,-25.5651478
202,Bohor reedbuck,parallelism,-14.226324,-46.4393054
203,Gila monster,algorithm,58.3669548,45.5416034
204,African porcupine,application,42.8718884,73.1963111
205,Crab-eating raccoon,architecture,60.4253612,16.5438565
206,Cereopsis goose,Implemented,19.40552,-70.37985
207,"Plover, three-banded",paradigm,44.023338,43.0973244
208,Dingo,multi-state,-0.421633,116.980756
209,"Whale, baleen",focus group,31.220367,121.424624
210,Indian peacock,24 hour,9.3136403,123.3036704
211,"Wallaby, river",utilisation,39.9048438,117.2490532
212,Praying mantis (unidentified),Open-architected,1.4081109,-77.391527
213,Chameleon (unidentified),Triple-buffered,12.1725083,7.7729115
214,"Boa, mexican",Inverse,11.8215864,-86.1306519
215,Sally lightfoot crab,portal,26.966667,89.3833329
216,Kafue flats lechwe,client-driven,35.4441266,136.3420789
217,Ant (unidentified),Team-oriented,37.9380466,-8.184571
218,"Crane, sandhill",optimizing,-19.8182619,-43.1580426
219,Black-crowned night heron,Function-based,-19.7270406,-50.265662
220,"Dik, kirk's dik",Synergistic,39.7028389,141.1515091
221,"Shark, blue",website,-11.2122554,13.8477121
222,"Monkey, bleeding heart",Organic,40.6205598,-8.5468762
223,"Vulture, oriental white-backed",policy,45.7608815,4.26286
224,"Dove, mourning collared",regional,31.282641,120.392977
225,Red-breasted cockatoo,reciprocal,18.4530602,-69.9474964
226,Spotted-tailed quoll,Diverse,38.3540386,23.2037131
227,Sea birds (unidentified),radical,49.3055868,18.0616373
228,Common genet,solution,7.4686205,125.7662248
229,Chameleon (unidentified),value-added,13.5085076,123.1804731
230,"Bear, grizzly",help-desk,43.5377939,10.383479
231,Carpet snake,infrastructure,31.558471,118.844538
232,Black-backed magpie,Balanced,37.2083179,9.9576849
233,"Cardinal, red-capped",Monitored,27.1840722,114.9749001
234,Red-breasted nuthatch,analyzer,52.359151,5.1999127
235,Grey fox,pricing structure,-7.0397296,108.6264694
236,Gila monster,parallelism,-7.8028722,113.007156
237,White-throated monitor,Adaptive,-17.6091383,-66.0255368
238,Eastern quoll,definition,37.749246,140.4729678
239,Violet-crested turaco,foreground,50.8177069,15.7230035
240,Small-spotted genet,foreground,10.3166,123.90114
241,"Hyena, spotted",local area network,6.2958736,101.7296049
242,Long-crested hawk eagle,zero administration,15.8279992,120.4157561
243,"Egret, cattle",service-desk,43.1553222,5.8998183
244,African snake (unidentified),Open-source,-27.7929655,-52.5425318
245,Gecko (unidentified),Distributed,44.903044,-93.2332244
246,Guanaco,foreground,16.80778,48.10917
247,"Wombat, common",context-sensitive,44.9248529,13.8198739
248,"Tortoise, galapagos",capability,41.3047616,69.2817267
249,Long-billed corella,capacity,-23.3969772,-46.9995522
250,"Skunk, western spotted",Configurable,38.0953349,139.419061
251,Common mynah,Up-sized,32.291013,109.07515
252,"Ass, asiatic wild",intranet,32.21252,106.230327
253,African red-eyed bulbul,Reactive,31.896817,93.795126
254,"Puma, south american",grid-enabled,-10.4322235,-62.4792921
255,"Mynah, indian",leverage,16.2413934,-61.5340396
256,Cape white-eye,firmware,-20.1514708,-44.2010909
257,"Tapir, brazilian",Exclusive,32.990664,112.528308
258,"Spurfowl, yellow-necked",24/7,43.6971283,44.2085511
259,"Turaco, violet-crested",attitude-oriented,24.749307,103.271467
260,Common goldeneye,fault-tolerant,50.0815792,14.2585703
261,Snake-necked turtle,parallelism,42.12215,60.06276
262,Prairie falcon,encompassing,-7.2792087,112.7657727
263,Australian magpie,Open-source,-9.7936959,29.0809012
264,"Jacana, african",Cross-group,53.4619521,27.215089
265,"Goldeneye, barrows",application,37.054157,122.354016
266,Indian star tortoise,intangible,15.3362649,-88.5529063
267,Pampa gray fox,Ameliorated,-7.9794517,112.0416754
268,Russian dragonfly,initiative,53.516179,49.13286
269,Pacific gull,non-volatile,28.80901,120.26121
270,Mountain goat,web-enabled,16.2656641,120.4139777
271,Common dolphin,middleware,-14.8518869,-66.7486446
272,Mule deer,explicit,25.9210961,51.3385684
273,"Ibis, glossy",intermediate,40.835835,-7.8169615
274,Roan antelope,Reduced,14.7741387,99.8571416
275,"Mongoose, eastern dwarf",Synergistic,26.58051,114.62836
276,"Spider, wolf",help-desk,35.6869752,-105.937799
277,Secretary bird,Team-oriented,47.443101,85.874096
278,"Dragon, komodo",Reduced,46.4722761,-64.7242645
279,"Phalarope, grey",non-volatile,41.131691,119.7263123
280,"Snake, carpet",encompassing,41.5826404,-6.2652906
281,Pine siskin,human-resource,-8.2046795,111.9969626
282,"Avocet, pied",focus group,-12.6339242,28.0537367
283,Brush-tailed phascogale,leading edge,37.1994932,126.8311887
284,Indian tree pie,time-frame,45.1888273,39.6438647
285,"Wallaby, red-necked",Enhanced,57.855421,11.8951003
286,Common duiker,project,63.4400274,10.4024274
287,European wild cat,Assimilated,-10.9232,122.8283
288,Python (unidentified),open architecture,51.1480274,71.4256221
289,Western grey kangaroo,knowledge base,-1.2543408,-78.6228504
290,Nile crocodile,Enhanced,-9.5663,119.8145
291,Ground legaan,exuding,-34.7564693,-58.5922883
292,"Cat, european wild",fresh-thinking,32.313822,105.255491
293,"Stilt, black-winged",Innovative,54.1433253,-9.7359765
294,Long-necked turtle,Profound,41.806843,123.50114
295,"Barbet, levaillant's",Multi-lateral,-11.6604039,43.2726992
296,Arctic tern,context-sensitive,32.060255,118.796877
297,Green-winged trumpeter,incremental,37.0237497,120.5622121
298,"Bandicoot, long-nosed",Implemented,-11.3826999,-75.7560455
299,Australian masked owl,flexibility,25.2743983,103.3380637
300,Tailless tenrec,Public-key,29.893672,110.346166
301,Black-backed magpie,Devolved,9.17008,118.1872
302,"Coatimundi, ring-tailed",focus group,28.46763,119.922796
303,"Ibis, puna",collaboration,48.6277459,2.4381665
304,Indian leopard,hierarchy,38.983236,106.383303
305,Mississippi alligator,Advanced,51.9210929,15.4768834
306,Frilled dragon,multi-tasking,7.59464,6.22476
307,"Avocet, pied",dedicated,3.01334,-76.643755
308,"Squirrel, european red",systematic,38.1283,46.678551
309,Brazilian tapir,didactic,-8.5309777,-37.1239897
310,"Flicker, field",focus group,60.192443,11.9986691
311,Common wallaroo,Grass-roots,28.8828809,118.4675515
312,Tasmanian devil,superstructure,13.8303,121.401
313,"Spoonbill, european",Expanded,37.444498,114.498761
314,Weeper capuchin,full-range,-22.4709659,-44.4513347
315,"Possum, ring-tailed",real-time,-7.4642812,112.4216959
316,"Thrasher, curve-billed",Triple-buffered,-6.3934005,-77.4859711
317,"Seal, northern elephant",Synergized,25.482034,49.5547333
318,Desert spiny lizard,discrete,-8.5408,115.1191
319,"Stork, white",radical,-2.4204637,-79.3437394
320,"Goose, greylag",firmware,25.526986,112.615815
321,Emerald-spotted wood dove,global,30.921396,112.444197
322,Chestnut weaver,Persistent,-9.0972502,-35.5876697
323,Python (unidentified),non-volatile,49.9466816,18.8244645
324,North American river otter,internet solution,45.2415442,77.9726477
325,"Leopard, indian",5th generation,21.6474788,39.7137181
326,Bald eagle,frame,22.3908295,113.9725126
327,Red-billed tropic bird,Customizable,54.3113742,59.4823216
328,Carpet snake,implementation,-7.759054,113.0396024
329,"Teal, hottentot",reciprocal,60.0715764,15.0050581
330,"Opossum, american virginia",Organic,25.6833446,89.0370477
331,Southern white-crowned shrike,Front-line,14.5458392,121.0044883
332,"Porcupine, north american",Function-based,-2.3496095,29.7512903
333,"Skua, long-tailed",Synergized,34.682497,103.359019
334,"Goose, egyptian",Grass-roots,27.1832216,56.2666455
335,Southern elephant seal,Up-sized,41.2166819,-8.0597042
336,Tarantula,access,55.7558852,37.8775383
337,Sun gazer,zero tolerance,47.31878,130.274684
338,"Fox, arctic",directional,4.392095,-75.687434
339,Common rhea,24 hour,39.856317,96.779317
340,"Moccasin, water",function,30.688741,109.166598
341,"Langur, gray",monitoring,31.2028365,121.4379074
342,Indian porcupine,Reduced,37.9346483,22.8455989
343,"Bulbul, african red-eyed",real-time,43.0429124,1.9038837
344,"Bear, grizzly",throughput,46.272878,102.7790303
345,Galapagos tortoise,User-friendly,24.1048998,52.7241914
346,Brolga crane,budgetary management,51.8891035,5.9269366
347,Southern boubou,multi-tasking,55.4109698,78.2605492
348,"Squirrel, arctic ground",application,21.1241396,105.5939066
349,"Sparrow, rufous-collared",Seamless,49.7647258,16.9050077
350,Mandras tree shrew,neutral,16.3770105,104.5422225
351,Cuis,function,15.7147233,120.851094
352,Blue fox,Focused,30.699176,120.318178
353,"Possum, western pygmy",zero tolerance,32.650887,101.505519
354,"Cat, miner's",approach,35.408609,117.146885
355,Asian elephant,discrete,60.0528555,23.6314746
356,"Barbet, crested",Advanced,35.177451,109.590671
357,"Parrot, hawk-headed",process improvement,31.598422,35.026375
358,Swainson's francolin,Digitized,37.841046,140.5203882
359,"Iguana, marine",maximized,9.338682,123.291063
360,"Mongoose, small indian",workforce,47.785421,-3.2602564
361,"Gecko, bent-toed",open architecture,27.202344,118.630479
362,Greater roadrunner,Re-contextualized,45.3770527,-73.579509
363,White-tailed deer,groupware,37.9380466,-8.184571
364,"Teal, hottentot",Multi-tiered,14.5638721,121.0327599
365,"Lion, australian sea",responsive,53.1907306,15.2027243
366,"Eagle, golden",adapter,35.924514,114.357763
367,Nilgai,Seamless,27.885191,119.359142
368,"Lemur, lesser mouse",intermediate,15.576932,120.4028006
369,Four-striped grass mouse,coherent,38.7097954,-9.4164575
370,"Dove, white-winged",access,7.2333331,124.25
371,Eastern quoll,demand-driven,49.333258,6.15176
372,Large-eared bushbaby,Cross-group,41.1059592,-8.2213311
373,"Bird, pied butcher",Distributed,9.829638,-85.325961
374,"Turaco, violet-crested",Optimized,-19.90625,47.2342299
375,Pronghorn,tertiary,35.8115637,36.2020473
376,South American sea lion,encompassing,51.506437,100.6714581
377,Stone sheep,radical,18.1965639,120.5989577
378,"Monkey, rhesus",zero administration,22.483182,113.916509
379,"Penguin, galapagos",Re-engineered,-10.9588216,-38.7897587
380,"Otter, african clawless",superstructure,39.1070379,-94.4928531
381,Andean goose,client-driven,-2.3549763,115.5088914
382,"Crane, brolga",bandwidth-monitored,30.63963,114.385538
383,Great egret,scalable,59.3112521,14.496875
384,"Cat, african wild",Optional,-34.7849517,-58.3848648
385,African darter,Distributed,7.9047781,98.3512841
386,African porcupine,Multi-tiered,-21.2915055,-50.3436312
387,"Hoopoe, eurasian",throughput,-6.4301048,-78.720695
388,"Deer, black-tailed",real-time,17.1374798,-62.6236633
389,Bengal vulture,definition,44.2682727,19.8906547
390,"Baboon, yellow",foreground,22.8064234,-82.5848464
391,Crab-eating raccoon,architecture,14.1999624,100.5749629
392,"Jackal, golden",Synchronised,-38.956431,-68.23127
393,"Stork, black-necked",protocol,32.15363,35.27646
394,Bengal vulture,definition,-17.9659326,-49.6503106
395,"Screamer, southern",Persevering,49.380268,-82.400129
396,Crowned hawk-eagle,local,6.6016448,3.2737882
397,"Jackal, black-backed",Optional,50.85237,19.9677201
398,"Gecko, ring-tailed",Upgradable,31.407545,95.625095
399,Painted stork,application,42.4099129,27.7009454
400,Python (unidentified),forecast,43.2261193,45.3885257
401,Hippopotamus,De-engineered,34.2506515,36.0117322
402,"Boa, columbian rainbow",hub,-0.3592489,102.3607061
403,"Partridge, coqui",instruction set,30.761853,117.007039
404,White rhinoceros,functionalities,54.3266413,40.8909987
405,"Bird, pied butcher",logistical,-31.43337,-64.2142976
406,"Fox, savanna",extranet,35.2495378,136.8995543
407,Ibex,Vision-oriented,32.933052,35.082678
408,"Wambenger, red-tailed",Cloned,13.871805,101.052868
409,"Squirrel, pine",Down-sized,-4.8216406,104.8337879
410,Tawny eagle,value-added,58.4181236,15.6198852
411,Hoary marmot,alliance,59.3586958,17.9687559
412,Dama wallaby,throughput,44.30672,85.871393
413,Jungle cat,local,5.8607314,-0.6676865
414,Levaillant's barbet,Cross-group,32.060255,118.796877
415,Small-spotted genet,project,49.5474598,16.2620907
416,"Constrictor, eastern boa",Adaptive,54.9999653,41.2962218
417,Barasingha deer,didactic,13.6095632,123.5359174
418,Hudsonian godwit,Profound,-32.78333,-71.21667
419,African wild dog,task-force,59.3927955,18.0310718
420,"Crane, sandhill",service-desk,43.4604716,21.0489533
421,Indian giant squirrel,Function-based,-8.1141,111.7762
422,Rufous tree pie,national,34.7811851,72.3485015
423,"Anteater, australian spiny",dedicated,18.0226967,101.8812323
424,Southern screamer,needs-based,8.539947,99.940316
425,"Flamingo, chilean",knowledge base,45.97927,-81.9248
426,Ocelot,object-oriented,48.5986674,37.9980367
427,"Kite, black",Future-proofed,29.606703,106.574271
428,"Hedgehog, south african",local,40.417358,117.500558
429,Sacred ibis,bifurcated,9.135346,-75.2887369
430,"Boar, wild",conglomeration,53.4116818,58.9860021
431,"Ass, asiatic wild",web-enabled,55.4618616,29.9874438
432,Mountain lion,upward-trending,34.8389466,134.7007309
433,"Crane, brolga",Cross-platform,11.1179302,123.0099723
434,Agile wallaby,moratorium,18.7597777,-69.0362184
435,Groundhog,Managed,-8.0055108,112.7509656
436,Harbor seal,6th generation,56.178249,37.902732
437,"Penguin, little blue",Vision-oriented,35.872664,120.04619
438,"Lizard, giant girdled",customer loyalty,7.813374,123.362634
439,Indian porcupine,Managed,41.3371316,-8.5394062
440,"Dove, little brown",regional,45.5787215,-72.001055
441,"Legaan, Monitor (unidentified)",data-warehouse,27.456658,112.175245
442,"Buffalo, wild water",task-force,-8.0360078,-34.9319998
443,Marine iguana,adapter,13.271157,121.9113216
444,Sociable weaver,contextually-based,54.4122067,18.4916795
445,Malachite kingfisher,eco-centric,-7.9868869,113.7513827
446,"Grouse, sage",moderator,31.7238883,119.9481515
447,"Cockatoo, slender-billed",Graphical User Interface,-21.692578,-45.2515461
448,Green-winged macaw,Re-engineered,39.948572,116.420192
449,Black bear,stable,32.629398,110.798266
450,"Sandpiper, spotted wood",grid-enabled,51.349366,9.7730968
451,"Phalarope, red",Fully-configurable,-31.5868009,-68.5173853
452,Long-finned pilot whale,Open-source,-11.434693,-61.4566885
453,"Owl, great horned",projection,-10.1602312,123.5937933
454,"Crane, stanley",dynamic,5.1744472,7.7145152
455,Asian foreset tortoise,Re-contextualized,-6.197006,106.615284
456,Huron,human-resource,-7.40772,112.5349392
457,African skink,Robust,-19.0195852,-65.2619615
458,"Dove, laughing",Persistent,40.417902,122.660538
459,Sage hen,Vision-oriented,44.9981985,39.1148294
460,Feral rock pigeon,Fundamental,8.7963805,117.8314494
461,Hudsonian godwit,Reactive,-6.5864219,106.7441048
462,"Hedgehog, south african",Multi-channelled,32.0860889,-7.0552218
463,Fat-tailed dunnart,dedicated,6.7702718,7.4300234
464,"Grenadier, common",archive,-26.459383,27.8604472
465,Cape cobra,knowledge user,61.1995653,62.8405475
466,Prehensile-tailed porcupine,superstructure,-0.789275,113.921327
467,Common nighthawk,Networked,-16.4078661,-49.1828385
468,"Bear, grizzly",service-desk,31.364902,108.249509
469,Pine siskin,encompassing,22.720974,114.246899
470,"Squirrel, african bush",Synchronised,11.0181098,124.5298181
471,Paradoxure,forecast,4.9946855,19.982437
472,Banded mongoose,User-friendly,45.1934857,5.7218985
473,"Kangaroo, jungle",stable,4.6096768,101.1064003
474,Ground monitor (unidentified),Mandatory,29.540245,111.253145
475,Yellow baboon,maximized,29.755129,111.370418
476,Common ringtail,actuating,41.8984166,20.905252
477,"Swan, black",user-facing,-7.280135,112.6347636
478,"Fox, pampa gray",dynamic,-8.6851,121.9164
479,"Bunting, crested",upward-trending,-16.111792,-69.5541
480,Kafue flats lechwe,dedicated,43.7441795,2.511999
481,"Baboon, olive",Optimized,29.689847,121.28259
482,Woodrat (unidentified),even-keeled,2.1961772,22.4708685
483,Ring-tailed possum,Proactive,44.6208353,21.1842054
484,Common boubou shrike,well-modulated,-8.2531767,-77.9990449
485,Blue duck,secured line,3.1523104,101.7178316
486,"Skunk, striped",logistical,2.9372148,11.9861694
487,White-necked raven,object-oriented,48.239135,126.481867
488,"Flamingo, roseat",well-modulated,-6.57956,106.6438673
489,Tokay gecko,emulation,20.3719163,-76.6297189
490,Giant otter,Multi-lateral,46.239782,-72.597424
491,Blue crane,Secured,19.2232969,-70.5126462
492,"Cormorant, flightless",national,44.86614,19.347341
493,"Grouse, sage",Self-enabling,48.7885683,2.3884283
494,"Macaque, rhesus",task-force,31.220367,121.424624
495,"Quoll, spotted-tailed",Face to face,57.1355803,103.9325393
496,Swainson's francolin,Enterprise-wide,-21.2335652,-45.2325476
497,Jabiru stork,Compatible,10.4113797,107.136224
498,Sally lightfoot crab,grid-enabled,-11.1892053,28.8888064
499,Red deer,circuit,-24.7057037,33.8801952
500,"Jackal, golden",Monitored,12.2483626,-0.6251541
501,Reindeer,framework,-28.7840394,-51.6077771
